"slug","tipo","legislatura","url-json","url-arnet-json","url-xml","url-arnet-xml"
"atividade-deputado-02","Atividade dos Deputados",2,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47556c4d6a426b62334d6c4d6a42455a5842316447466b62334d7653556b6c4d6a424d5a57647063327868644856795953394264476c32615752685a4756455a5842316447466b62306c4a5832707a6232347564486830&fich=AtividadeDeputadoII_json.txt&Inline=true",,,
"atividade-deputado-03","Atividade dos Deputados",3,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47556c4d6a426b62334d6c4d6a42455a5842316447466b62334d7653556c4a4a5449775447566e61584e7359585231636d457651585270646d6c6b5957526c52475677645852685a47394a53556c66616e4e76626935306548513d&fich=AtividadeDeputadoIII_json.txt&Inline=true",,,
"atividade-deputado-04","Atividade dos Deputados",4,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47556c4d6a426b62334d6c4d6a42455a5842316447466b62334d765356596c4d6a424d5a57647063327868644856795953394264476c32615752685a4756455a5842316447466b62306c575832707a6232347564486830&fich=AtividadeDeputadoIV_json.txt&Inline=true",,,
"atividade-deputado-05","Atividade dos Deputados",5,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47556c4d6a426b62334d6c4d6a42455a5842316447466b62334d76566955794d45786c5a326c7a6247463064584a684c30463061585a705a47466b5a55526c6348563059575276566c3971633239754c6e523464413d3d&fich=AtividadeDeputadoV_json.txt&Inline=true",,,
"atividade-deputado-06","Atividade dos Deputados",6,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47556c4d6a426b62334d6c4d6a42455a5842316447466b62334d76566b6b6c4d6a424d5a57647063327868644856795953394264476c32615752685a4756455a5842316447466b62315a4a5832707a6232347564486830&fich=AtividadeDeputadoVI_json.txt&Inline=true",,,
"atividade-deputado-07","Atividade dos Deputados",7,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47556c4d6a426b62334d6c4d6a42455a5842316447466b62334d76566b6c4a4a5449775447566e61584e7359585231636d457651585270646d6c6b5957526c52475677645852685a47395753556c66616e4e76626935306548513d&fich=AtividadeDeputadoVII_json.txt&Inline=true",,,
"atividade-deputado-08","Atividade dos Deputados",8,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47556c4d6a426b62334d6c4d6a42455a5842316447466b62334d76566b6c4a535355794d45786c5a326c7a6247463064584a684c30463061585a705a47466b5a55526c6348563059575276566b6c4a53563971633239754c6e523464413d3d&fich=AtividadeDeputadoVIII_json.txt&Inline=true",,,
"atividade-deputado-09","Atividade dos Deputados",9,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47556c4d6a426b62334d6c4d6a42455a5842316447466b62334d765356676c4d6a424d5a57647063327868644856795953394264476c32615752685a4756455a5842316447466b62306c595832707a6232347564486830&fich=AtividadeDeputadoIX_json.txt&Inline=true",,,
"atividade-deputado-10","Atividade dos Deputados",10,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47556c4d6a426b62334d6c4d6a42455a5842316447466b62334d76574355794d45786c5a326c7a6247463064584a684c30463061585a705a47466b5a55526c634856305957527657463971633239754c6e523464413d3d&fich=AtividadeDeputadoX_json.txt&Inline=true",,,
"atividade-deputado-11","Atividade dos Deputados",11,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47556c4d6a426b62334d6c4d6a42455a5842316447466b62334d7657456b6c4d6a424d5a57647063327868644856795953394264476c32615752685a4756455a5842316447466b6231684a5832707a6232347564486830&fich=AtividadeDeputadoXI_json.txt&Inline=true",,,
